# Generated by tools/dictgen — do not edit by hand.
# Language: English (en)
# Glosses in French. Format: word|gloss|feats — joined to lex.txt on the
# headword. A word this file does not cover falls back to gloss.en.txt, so a
# translation in progress shows French where it has one and English elsewhere.
#
# feats is copied from gloss.en.txt, not recomputed: it states the class and
# person of each sense of the English word, which is the same fact whichever
# language explains it. That is why a gloss here must keep the sense count of
# the English gloss it translates — the two are aligned by position.
#
# Glosses on this file only are generated with an LLM and are not derived from
# any licensed corpus. See NOTICE at the repo root.
you|tu, toi, vous (une ou plusieurs personnes)|f2s2p
stomp|marcher ou taper d'un pas lourd|v
and-and|(bégayé) et|o
driveway|allée privée qui mène à une maison|o
funky|au rythme dansant marqué; d'un style un peu décalé (familier)|o;o
intervene|intervenir pour changer le cours des choses|v
indulge|se permettre ce qui fait plaisir; céder à|v;v
heating|chauffage d'un bâtiment|o
stool|tabouret|o
architecture|architecture, art de concevoir les bâtiments; façon dont une chose est bâtie|o;o
organism|organisme, être vivant|o
proportion|part d'un tout; rapport d'une quantité à une autre|o;o
martian|de la planète Mars; martien, être venu de Mars|o;o
unacceptable|inacceptable|o
interpret|interpréter, expliquer le sens de; traduire à l'oral|v;v
devotion|dévouement, amour profond et fidèle; dévotion religieuse|o;o
burgers|hamburgers, steaks hachés servis dans un pain|o
convenience|commodité, facilité d'usage; chose qui évite la peine|o;o
overdo|en faire trop|v
plum|prune|o
blog|blog, journal tenu sur internet|o
collective|collectif, partagé par un groupe; coopérative agricole ou d'entreprise|o;o
heritage|patrimoine hérité du passé|o
judgement|judgement, orthographe britannique de judgment|o
renew|renouveler, refaire à neuf; reconduire un accord|v;v
lime|citron vert; chaux utilisée en construction|o;o
motherfucking|(vulgaire, plus fort que goddamn) putain de, pour insister|o
peck|donner un coup de bec; petit baiser rapide|v;o
blur|rendre flou; forme aux contours indistincts|v;o
flank|flanc du corps ou d'une armée|o
a-a|(bégayé) un|o
appreciation|reconnaissance, gratitude; appréciation de la valeur d'une chose|o;o
historic|historique, digne de mémoire|o
processing|traitement par étapes réglées|o
high-pitched|(d'un son) très aigu|o
homo|(injurieux) homosexuel|o
antibiotic|antibiotique qui tue les microbes|o
loaf|miche de pain; traîner sans rien faire|o;v
portuguese|portugais; le portugais|o;o
researcher|chercheur|o
valid|valable en droit ou en raison|o
plaster|plâtre qui durcit sur les murs; pansement adhésif|o;o
breeding|élevage, reproduction; bonne éducation|o;o
hazard|danger; risque, chose qui peut nuire|o;o
iove|(faute pour love) amour|o
malfunction|défaillance d'une machine|o
part-time|à temps partiel|o
bourbon|bourbon, whiskey américain de maïs|o
wah|(bruit des pleurs)|g
ashore|à terre, sur le rivage|o
discretion|discrétion, retenue dans les paroles; latitude de décider|o;o
shortcut|raccourci vers un lieu ou un résultat|o
absent|absent; distrait, inattentif|o;o
machinery|machines dans leur ensemble; rouages d'un système|o;o
catastrophe|catastrophe soudaine|o
gestapo|Gestapo, police secrète de l'Allemagne nazie|o
trim|tailler légèrement pour égaliser; net et bien tenu|v;o
intrude|s'imposer là où l'on n'est pas souhaité|v
knuckle|articulation du doigt|o
coo|(roucoulement doux de la colombe); parler d'une voix douce et tendre|g;v
supportive|qui soutient et encourage|o
cuddle|serrer tendrement dans ses bras|v
deprive|priver de ce dont on a besoin|v
sissy|(insulte) garçon ou homme jugé faible|o
toot|(coup de klaxon bref)|g
wretch|malheureux qu'on plaint ou qu'on méprise|o
accounting|comptabilité|o
expertise|expertise, savoir-faire approfondi|o
hiccup|hoquet qui revient; petit contretemps|o;o
louse|pou|o
woe|grand chagrin; (woes) malheurs|o;o
embarrassment|gêne, sentiment de honte; ce qui met dans l'embarras|o;o
waffle|gaufre; parler pour ne rien dire|o;v
vanilla|vanille|o
queue|file d'attente; faire la queue|o;v
gent|monsieur (familier)|o
rubbing|frottement de la main ou d'un chiffon|o
mimic|imiter la façon de parler ou de bouger|v
strengthen|renforcer|v
polar|polaire, du pôle Nord ou Sud|o
undergo|subir quelque chose de pénible|v
clamp|serre-joint qui maintient fermement; fixer solidement|o;v
congrats|félicitations (familier)|o
brotherhood|fraternité, sentiment de solidarité; confrérie unie par un même but|o;o
pike|brochet, poisson d'eau douce au corps allongé; pique, arme ancienne à long manche|o;o
understandable|compréhensible, facile à saisir; compréhensible, naturel vu les circonstances|o;o
yuan|yuan, monnaie chinoise|o
publicly|publiquement, au vu de tous|o
defect|défaut, imperfection; faire défection, passer à l'autre camp|o;v
assassinate|assassiner un dirigeant|v
delusion|illusion, croyance fausse fermement tenue|o
ghetto|ghetto, quartier pauvre où un groupe est enfermé|o
disrupt|perturber le bon déroulement de|v
pilgrim|pèlerin|o
charter|charte énonçant des droits; affréter un avion ou un bateau|o;v
acquaint|familiariser avec|v
syrup|sirop|o
marathon|marathon, course de 42 km; épreuve longue et éprouvante|o;o
unpredictable|imprévisible, qui change sans prévenir|o
firearm|arme à feu|o
quarantine|quarantaine pour empêcher la propagation d'une maladie|o
suspension|suspension temporaire d'une personne; suspension d'un véhicule|o;o
alias|faux nom; alias, autrement appelé|o;o
arouse|éveiller un sentiment; réveiller|v;v
cautious|prudent|o
enlist|s'engager dans l'armée; s'assurer l'aide de quelqu'un|v;v
islam|islam, religion des musulmans|o
seller|vendeur|o
supporter|partisan d'une équipe ou d'une cause|o
sermon|sermon prononcé à l'église|o
coup|coup d'État; beau coup, réussite habile|o;o
vulgar|grossier et vulgaire; de mauvais goût|o;o
relic|vestige d'autrefois; relique d'un saint|o;o
crisp|croquant, sec et cassant; vif et frais|o;o
cone|cône; pomme de pin|o;o
blouse|chemisier de femme|o
mourn|pleurer un mort|v
spectacle|spectacle frappant; (spectacles) lunettes|o;o
bakery|boulangerie|o
dent|bosse creusée par un choc|o
faculty|faculté du corps ou de l'esprit; faculté d'une université|o;o
fiddle|violon; truquer des comptes; tripoter, jouer avec|o;v;v
modify|modifier légèrement|v
ecstasy|extase, joie immense; ecstasy, drogue illégale euphorisante|o;o
perceive|remarquer, percevoir; voir d'une certaine façon|v;v
convoy|convoi de navires ou de véhicules voyageant ensemble|o
tropical|tropical, des pays chauds près de l'équateur|o
automobile|automobile (américain)|o
dickhead|(vulgaire) crétin, con|o
mamma|mamma, autre orthographe de mama|o
'he|(faute pour he) il|f3s
frustration|frustration, sentiment d'être empêché d'obtenir ce qu'on veut|o
meddle|se mêler de ce qui ne vous regarde pas|v
makin|en train de fabriquer (orthographe familière de making)|o
full-time|à temps plein|o
jumper|pull (britannique); personne qui saute|o;o
maneuver|manœuvre de troupes ou d'un véhicule; manœuvre habile|o;o
anomaly|anomalie, chose qui sort du schéma habituel|o
danish|danois; le danois|o;o
empress|impératrice qui règne; femme d'un empereur|o;o
shaving|rasage; copeau, fine lamelle enlevée|o;o
finale|finale d'un spectacle ou d'un morceau|o
slick|habile et lisse, peut-être trop; glissant|o;o
unarmed|non armé|o
technician|technicien|o
prohibit|interdire par la loi|v
tactical|tactique, calculé pour prendre l'avantage|o
teller|guichetier qui verse l'argent à la banque; celui qui raconte|o;o
elope|s'enfuir pour se marier|v
infiltrate|s'infiltrer dans un groupe|v
wool|laine du mouton; fil de laine|o;o
crib|lit d'enfant à barreaux; copier en trichant|o;v
spotlight|projecteur braqué sur un point; feux de l'actualité|o;o
priceless|inestimable, sans prix; désopilant (familier)|o;o
merci|(français) merci|o
perception|perception, façon de voir ou de comprendre; faculté de remarquer|o;o
considerable|considérable, assez important pour compter|o
tellin|en train de raconter (orthographe familière de telling)|o
sidewalk|trottoir (américain)|o
positively|catégoriquement, à coup sûr; positivement, avec optimisme|o;o
feminine|féminin, de la femme|o
tamper|(tamper with) toucher à, trafiquer|v
crust|croûte du pain; croûte terrestre|o;o
partly|en partie|o
supervise|surveiller un travail et veiller à sa bonne exécution|v
percentage|pourcentage, quantité pour cent; part|o;o
marquis|marquis, noble de rang supérieur au comte|o
meatball|boulette de viande hachée|o
ripe|mûr, bon à manger|o
mist|brume au ras du sol|o
gigantic|gigantesque|o
guv|(britannique familier) chef, patron|o
conductor|chef d'orchestre; contrôleur qui encaisse les billets; conducteur d'électricité|o;o;o
bypass|route qui contourne une ville; contourner, éviter|o;v
headmaster|directeur d'école|o
tenth|10e|o
steep|raide, en forte pente; excessif, trop cher|o;o
weave|tisser en croisant les fils; se faufiler|v;v
quantity|quantité|o
athletic|doué pour le sport; athlétique, fort et vif|o;o
backstage|dans les coulisses, hors de la vue du public|o
groove|rainure longue et étroite|o
compensate|compenser une perte|v
trend|tendance générale|o
hungarian|hongrois; le hongrois|o;o
amend|modifier pour corriger|v
contaminate|contaminer, souiller ou empoisonner par mélange|v
motivation|raison qui pousse à agir; motivation, ardeur au travail|o;o
chilly|frais, un peu froid; froid, peu aimable|o;o
eldest|aîné de trois ou plus|o
feedback|retour sur la façon dont une chose a été faite|o
repeatedly|à plusieurs reprises|o
exquisite|exquis, d'une grande finesse|o
hostess|hôtesse qui reçoit; hôtesse qui sert les clients|o;o
socialist|socialiste, partisan de la propriété publique de l'industrie; socialiste, personne|o;o
vanity|vanité, trop haute idée de son apparence; vanité, absence de valeur|o;o
arctic|arctique, du grand nord; glacial|o;o
secondary|secondaire, de moindre importance; du second cycle scolaire|o;o
necessity|nécessité, chose indispensable; nécessité, fait d'être requis|o;o
unsub|(terme policier) suspect inconnu d'une enquête|o
concussion|commotion cérébrale due à un coup à la tête|o
fuckers|(vulgaire) enfoirés|o
resolution|résolution, décision ferme; résolution votée par une assemblée; résolution d'une image|o;o;o
weasel|belette, petit animal féroce au corps allongé; sournois|o;o
longing|désir ardent de ce qu'on ne peut atteindre|o
sly|rusé et dissimulé|o
moss|mousse, petite plante verte des lieux humides|o
motto|devise prise pour règle de conduite|o
yum|(quand un plat est bon)|g
collision|collision de deux objets en mouvement|o
voter|électeur|o
lava|lave, roche en fusion sortie d'un volcan|o
monthly|une fois par mois, tous les mois|o
midst|milieu d'un groupe ou d'une période|o
seminar|séminaire, petit cours de discussion|o
gospel|évangile, enseignement du Christ; l'un des quatre premiers livres du Nouveau Testament|o;o
transcript|transcription écrite de ce qui a été dit|o
barbarian|barbare, personne jugée fruste|o
bead|perle de verre ou de bois enfilée|o
serpent|serpent|o
splitting|division; (d'un mal de tête) atroce|o;o
kilometre|kilometre, orthographe britannique de kilometer|o
cosmos|cosmos, l'univers comme ensemble ordonné|o
goody|(cri de joie enfantine); gentil dans une histoire|g;o
curfew|couvre-feu|o
equivalent|équivalent, de même valeur ou de même sens|o
notorious|tristement célèbre|o
pitiful|pitoyable, digne de pitié; lamentable, honteusement pauvre|o;o
doorstep|marche devant une porte|o
propaganda|propagande diffusée pour servir une cause|o
bronze|bronze, métal brun de cuivre et d'étain; médaille de bronze|o;o
trader|négociant, personne qui achète et vend|o
pitcher|grand pichet; lanceur au baseball|o;o
condo|appartement dont l'occupant est propriétaire (américain)|o
fearless|intrépide, sans peur|o
'in|(dans des mots comme walkin') la terminaison -ing|o
demo|manifestation; maquette enregistrée pour montrer ce qu'on sait faire|o;o
playboy|playboy, homme riche qui vit pour le plaisir|o
decree|décret ayant force de loi|o
bouquet|bouquet de fleurs|o
alternate|un sur deux, alterné; alterner|o;v
briefly|brièvement, peu de temps; en peu de mots|o;o
experimental|expérimental, fait à titre d'essai; qui explore des voies nouvelles|o;o
unfinished|inachevé|o
lil|petit (orthographe familière de little)|o
mainland|continent, terre principale hors des îles|o
w-what|(bégayé) quoi|o
evaluation|évaluation de la valeur ou de la qualité|o
indoor|d'intérieur|o
jockey|jockey qui monte en course|o
nip|pincer ou mordre vivement; faire un saut quelque part (britannique)|v;v
vine|plante grimpante, surtout la vigne|o
gender|sexe, fait d'être homme ou femme|o
pageant|spectacle en costumes d'époque|o
seventeen|17|o
openly|ouvertement, sans rien cacher|o
deacon|diacre, ministre du culte au-dessous du prêtre|o
jackpot|gros lot d'un jeu de hasard|o
printing|impression de textes à la machine|o
shorty|(familier) petit, personne de petite taille|o
yuck|(bruit de dégoût)|g
amendment|amendement apporté à une loi ou à un texte|o
overdose|overdose, dose excessive de drogue|o
you-you|(bégayé) tu, toi|f2s2p
tendency|tendance, direction probable|o
abduction|enlèvement d'une personne par la force|o
clack|(bruit sec de choses qui s'entrechoquent)|g
smear|barbouiller d'une trace grasse; salir la réputation de|v;v
surge|montée soudaine et puissante|o
takin|en train de prendre (orthographe familière de taking)|o
pillar|pilier qui soutient un bâtiment|o
sticker|autocollant|o
democrat|démocrate, partisan du pouvoir du peuple; membre du parti démocrate|o;o
virginity|virginité|o
dense|dense, serré; bouché, stupide (familier)|o;o
leverage|pouvoir d'influence; effet de levier|o;o
unity|unité, fait d'être uni; entente|o;o
guru|gourou, maître spirituel en Inde; gourou dont on suit les conseils|o;o
thesis|thèse de recherche pour un diplôme; thèse avancée|o;o
harbour|harbour, orthographe britannique de harbor|o
oof|(son de quelqu'un qui a le souffle coupé)|g
divert|détourner vers un autre chemin; divertir|v;v
likewise|de même; également|o;o
sunglasses|lunettes de soleil|o
geek|passionné d'informatique ou d'études, jugé ennuyeux|o
doggy|(mot d'enfant) toutou; de chien|o;o
hick|(insulte) péquenaud jugé simplet|o
douche|(vulgaire) sale type; douche, lavage du corps à l'eau|o;o
fiancee|fiancée|o
clash|s'affronter ouvertement; fracas de métal|v;o
bathe|se laver le corps; se baigner|v;v
puncture|petit trou fait par un objet pointu, surtout dans un pneu|o
assessment|évaluation de la valeur ou des capacités|o
apprentice|apprenti qui apprend un métier sur le tas|o
pup|chiot ou bébé phoque|o
cobra|cobra, serpent venimeux au cou dilaté|o
hydrogen|hydrogène, gaz le plus léger, composant de l'eau|o
karaoke|karaoké, chant sur une musique enregistrée|o
recess|suspension d'audience ou récréation; renfoncement dans un mur|o;o
adjustment|petit réglage pour corriger|o
drummer|batteur|o
parson|curé de paroisse|o
gravy|sauce faite du jus de viande|o
severely|gravement, très mal; sévèrement, avec dureté|o;o
rainy|pluvieux|o
emerald|émeraude, pierre précieuse vert vif|o
cameraman|cadreur, opérateur de caméra|o
linger|s'attarder plus longtemps que prévu|v
dwell|habiter un lieu; (dwell on) ressasser|v;v
kindergarten|école maternelle|o
subpoena|citation à comparaître|o
characteristic|caractéristique, trait typique; caractéristique, typique|o;o
hangover|gueule de bois|o
clarify|clarifier|v
swarm|essaim ou nuée d'insectes ou de gens|o
cuz|parce que (familier)|o
improvise|improviser avec ce qu'on a sous la main|v
affirmative|affirmatif, qui dit oui; (en réponse) affirmatif|o;o
merciful|miséricordieux|o
rotate|tourner autour d'un centre; se relayer à tour de rôle|v;v
shoo|(pour chasser un animal)|g
payback|retour de ce qu'on a fait, en bien ou en mal; revanche|o;o
prostitution|prostitution|o
vintage|de grande qualité et d'une autre époque; millésime d'un vin|o;o
