# Generated by tools/dictgen — do not edit by hand.
# Language: English (en)
# Glosses in Spanish. Format: word|gloss|feats — joined to lex.txt on the
# headword. A word this file does not cover falls back to gloss.en.txt, so a
# translation in progress shows Spanish where it has one and English elsewhere.
#
# feats is copied from gloss.en.txt, not recomputed: it states the class and
# person of each sense of the English word, which is the same fact whichever
# language explains it. That is why a gloss here must keep the sense count of
# the English gloss it translates — the two are aligned by position.
#
# Glosses on this file only are generated with an LLM and are not derived from
# any licensed corpus. See NOTICE at the repo root.
you|tú, usted, ustedes (una o varias personas)|f2s2p
mover|empresa de mudanzas; impulsor, promotor|o;o
munch|masticar ruidosamente, mascar|v
nomadic|nómada|o
nomenclature|nomenclatura, terminología|o
ominously|amenazadoramente, de forma inquietante|o
oncologist|oncólogo|o
onerous|oneroso, gravoso|o
opportunistic|oportunista, que aprovecha las ocasiones, a menudo con egoísmo|o
outreach|labor de acercamiento y ayuda a la gente|o
pacemaker|marcapasos; corredor que marca el ritmo, liebre|o;o
pacifist|pacifista, persona contraria a toda guerra y violencia|o
permutation|permutación, una ordenación posible|o
petrochemical|producto petroquímico, derivado del petróleo o del gas|o
pheromone|feromona, señal química que libera un animal|o
plow|arar, labrar la tierra; arado; plow through: avanzar con esfuerzo|v;o;n
plush|lujoso, suave y mullido; felpa, peluche|o;o
prohibitively|de forma prohibitiva, tanto que impide usar o comprar|o
racially|racialmente, en cuanto a la raza|o
radial|radial, que se extiende desde un centro|o
rainwater|agua de lluvia|o
rationalize|racionalizar, buscar razones que justifiquen; racionalizar, hacer más eficiente|v;v
recast|reformular, cambiar la forma de; cambiar el reparto, dar un papel a otro actor|v;v
redraw|volver a dibujar, rediseñar (fronteras, planes)|v
richly|ricamente, con lujo; plenamente, con creces|o;o
righteousness|rectitud, virtud|o
scorer|goleador, anotador; anotador, persona que lleva el marcador|o;o
seclusion|aislamiento, retiro|o
solidify|solidificarse, endurecerse; consolidar, afianzar|v;v
starch|almidón, fécula (de papa, arroz, etc.); almidón para la ropa|o;o
subatomic|subatómico|o
taluka|distrito administrativo de la India|o
tantrum|berrinche, rabieta|o
tedious|tedioso, largo y aburrido|o
tolerable|tolerable, soportable; aceptable, bastante bueno|o;o
toolkit|juego de herramientas, caja de herramientas|o
trachoma|tracoma, infección contagiosa de los ojos|o
trough|abrevadero, comedero; punto más bajo, bache|o;o
ulcer|úlcera, llaga (p. ej. en el estómago)|o
unchallenged|incuestionado, sin oposición|o
undertaker|empleado de funeraria, director de funeraria|o
unimportant|sin importancia, insignificante|o
untapped|sin explotar, sin aprovechar|o
untouched|intacto, sin cambios; sin probar (la comida)|o;o
upsurge|aumento repentino, auge|o
wicket|palos del críquet (wicket); portillo, puertita|o;o
acknowledgement|reconocimiento, admisión; agradecimiento, mención|o;o
acumen|perspicacia, buen juicio|o
append|añadir al final, adjuntar|v
apprehend|detener, arrestar; comprender, captar|v;v
apprehensive|aprensivo, inquieto, preocupado|o
archery|tiro con arco|o
archival|de archivo, documental|o
asphalt|asfalto|o
avid|ávido, entusiasta|o
barefoot|descalzo|o
beak|pico (de ave)|o
beginner|principiante, novato|o
bravely|valientemente, con valor|o
breathtaking|impresionante, asombroso|o
candidiasis|candidiasis, infección por hongos|o
canonical|canónico, estándar, aceptado; canónico, del derecho eclesiástico o las Escrituras|o;o
carcass|cadáver de animal, res muerta|o
centipede|ciempiés|o
charade|farsa, pantomima; charades: juego de adivinar con mímica|o;n
ciphertext|texto cifrado|o
citrus|cítrico (naranja, limón, lima)|o
closeness|intimidad, cercanía afectiva; proximidad|o;o
clueless|despistado, sin idea (coloq.)|o
cocksucker|hijo de puta, insulto vulgar a un hombre (coloq.)|o
commencement|comienzo, inicio; ceremonia de graduación|o;o
commonality|rasgo común|o
conjugate|conjugar (un verbo); conjugado, unido, emparejado|v;o
connectome|conectoma, mapa de todas las conexiones neuronales del cerebro|o
conqueror|conquistador, vencedor|o
conspirator|conspirador, conjurado|o
decelerate|desacelerar, reducir la velocidad|v
devilish|diabólico, malvado; travieso, pícaro|o;o
devotional|devocional, religioso, de culto|o
dimple|hoyuelo (en la mejilla o el mentón)|o
disqualify|descalificar por romper las reglas; inhabilitar, incapacitar|v;v
dissect|diseccionar; analizar a fondo, desmenuzar|v;v
ducky|genial, perfecto (coloq.); cariño, querido (coloq.)|o;o
ecclesiastical|eclesiástico, de la iglesia o el clero|o
eigenvalue|valor propio, autovalor (matemáticas)|o
elude|eludir, escapar de; escaparse, no lograr entenderse|v;v
endurance|resistencia, aguante|o
erstwhile|antiguo, de antes|o
extravagant|derrochador, que gasta demasiado; exagerado, ostentoso|o;o
fanatical|fanático|o
feasibility|viabilidad, factibilidad|o
flattery|halago, adulación|o
folio|folio, hoja o página; libro en folio, de gran formato|o;o
foo|nombre de relleno (en ejemplos de programación)|o
fresco|fresco, pintura sobre yeso húmedo|o
genocidal|genocida|o
genotype|genotipo, constitución genética|o
gladiator|gladiador|o
grammatical|gramatical, de la gramática; gramaticalmente correcto|o;o
habitation|vivienda, morada; habitación, hecho de habitar un lugar|o;o
hairdresser|peluquero, estilista|o
handshake|apretón de manos|o
hardworking|trabajador, diligente|o
hemorrhage|hemorragia; sangrar mucho; perder rápidamente (dinero, gente)|o;v;v
hombre|hombre, tipo (coloq.)|o
humanize|humanizar|v
hydro|energía hidroeléctrica|o
impairment|deterioro, daño, discapacidad|o
incendiary|incendiario, que provoca fuego; incendiario, provocador|o;o
incessant|incesante, constante|o
infringement|infracción, violación|o
inkling|vaga idea, sospecha|o
inspirational|inspirador|o
insubordination|insubordinación, desobediencia|o
insular|cerrado, estrecho de miras; insular, de una isla|o;o
introductory|introductorio, preliminar|o
justifiable|justificable, defendible|o
liken|comparar|v
mage|mago, hechicero|o
mammogram|mamografía|o
mastermind|cerebro (de un plan); planear y dirigir|o;v
menstrual|menstrual|o
metropolis|metrópolis, gran ciudad|o
miniskirt|minifalda|o
narcissist|narcisista|o
nightstand|mesita de noche, buró|o
nominally|nominalmente, solo de nombre; oficialmente|o;o
noteworthy|notable, digno de mención|o
occupant|ocupante, inquilino|o
odious|odioso, repugnante|o
phytoplankton|fitoplancton|o
playable|jugable, que se puede jugar o tocar|o
predate|ser anterior a, preceder|v
preempt|adelantarse para impedir; reemplazar, ocupar el lugar de|v;v
prelude|preludio, antesala; preludio (musical)|o;o
provost|rector (de un colegio universitario); alto cargo universitario, vicerrector|o;o
punishable|punible, sancionable|o
quake|terremoto, temblor; temblar, estremecerse|o;v
rabbinic|rabínico|o
racer|corredor (persona, auto o animal de carreras)|o
rave|desvariar, delirar; elogiar con entusiasmo; fiesta rave|v;v;o
regrettably|lamentablemente|o
retrofit|modernizar, adaptar con piezas nuevas|v
revoir|au revoir: adiós|n
riff|riff, frase musical repetida; variación sobre un tema|o;o
rightist|derechista|o
saturate|empapar, saturar; saturar, llenar al máximo|v;v
securely|firmemente, con seguridad|o
sequential|secuencial, uno tras otro|o
sequester|aislar, recluir; capturar, almacenar (carbono)|v;v
shoreline|costa, orilla|o
snipe|disparar a escondidas, francotirar; lanzar pullas, criticar con malicia|v;v
spiritually|espiritualmente|o
statist|estatista|o
subconscious|subconsciente|o
submissive|sumiso, dócil|o
subsidiarity|subsidiariedad, principio de decidir al nivel más bajo posible|o
sulfa|sulfa drug: sulfamida, antibacteriano|n
tally|cuenta, recuento, total; contar, sumar; coincidir, cuadrar|o;v;v
tanker|buque cisterna, camión cisterna|o
thickly|en capa gruesa; densamente, espesamente; con voz ronca|o;o;o
thyroid|tiroides, glándula del cuello que regula el metabolismo|o
tracker|rastreador|o
treachery|traición|o
treasurer|tesorero|o
trig|trigonometría (coloq.)|o
undertone|trasfondo, matiz; voz baja|o;o
unequivocally|inequívocamente, sin duda|o
uninhabited|deshabitado|o
vassal|vasallo; estado vasallo, subordinado|o;o
vertebrate|vertebrado|o
wastewater|aguas residuales|o
wearable|ponible, que se puede llevar puesto; dispositivo ponible, wearable|o;o
webinar|seminario web, webinar|o
witty|ingenioso, gracioso|o
accommodative|complaciente, servicial; expansiva (política monetaria que estimula el crédito)|o;o
acutely|agudamente, intensamente|o
amiss|mal, fuera de lugar|o
analogue|analógico; análogo, equivalente, homólogo|o;o
avalanche|avalancha, alud; avalancha, aluvión|o;o
belligerent|beligerante, hostil, agresivo; beligerante, en guerra|o;o
bonanza|bonanza, golpe de suerte|o
bonfire|fogata, hoguera|o
buff|aficionado, fanático; pulir, lustrar; musculoso, mamado (coloq.)|o;v;o
cadre|cuadro, núcleo de personal capacitado; cuadro, miembro de ese grupo|o;o
cater|dar servicio de comida, hacer catering; cater to: atender, satisfacer las necesidades de|v;n
checkpoint|puesto de control, retén|o
codify|codificar, sistematizar (leyes, normas)|v
competency|competencia, capacidad|o
compliant|conforme a las normas, cumplidor; dócil, sumiso|o;o
contractual|contractual|o
convincingly|convincentemente|o
cutback|recorte, reducción|o
despotic|despótico, tiránico|o
detractor|detractor, crítico|o
disdainful|desdeñoso, despectivo|o
dynastic|dinástico|o
elliptical|elíptico, ovalado; elíptico (del habla), que omite palabras, oscuro|o;o
ethnically|étnicamente|o
eukaryote|eucariota, organismo con células con núcleo|o
euthanasia|eutanasia, muerte asistida|o
extol|ensalzar, alabar|v
fifteenth|decimoquinto, 15.º|o
flask|petaca, licorera; matraz; termo|o;o;o
generously|generosamente|o
goalkeeper|portero, arquero|o
grower|cultivador, productor|o
heartfelt|sincero, sentido|o
homogeneous|homogéneo, uniforme|o
hyena|hiena|o
inept|inepto, torpe|o
inexorably|inexorablemente, implacablemente|o
inextricably|inextricablemente, indisolublemente|o
invoice|factura; facturar|o;v
irrelevance|irrelevancia|o
irritable|irritable, susceptible|o
koji|koji, hongo para fermentar salsa de soya, miso y sake|o
leeway|margen, libertad de acción|o
liturgical|litúrgico|o
longitude|longitud (geográfica)|o
lyrically|líricamente, con expresividad; en cuanto a la letra|o;o
macroprudential|macroprudencial|o
maternity|maternidad; maternity leave: licencia de maternidad|o;n
meritocratic|meritocrático|o
micronutrient|micronutriente|o
misdeed|fechoría, delito|o
modus|modus operandi: método de trabajo|n
morphology|morfología (de organismos o palabras)|o
murky|turbio, oscuro; confuso, dudoso|o;o
nocturnal|nocturno, activo de noche; nocturno, de la noche|o;o
obstinacy|obstinación, terquedad|o
omnibus|ómnibus, autobús (antiguo); ley o libro recopilatorio|o;o
paltry|mísero, insignificante|o
pastoral|pastoril, de la vida rural; pastoral, de la cura de almas|o;o
politicization|politización|o
poultry|aves de corral|o
premiership|cargo de primer ministro; Premier League, liga inglesa de fútbol|o;o
prima|prima donna: primera figura de la ópera, diva caprichosa; prima facie: a primera vista|n;n
prodigy|prodigio, niño prodigio; maravilla|o;o
pus|pus|o
pyjama|de pijama; pyjamas: pijama|o;n
reggae|reggae|o
regionally|regionalmente, por regiones|o
requisite|requerido, necesario; requisito|o;o
retaliatory|de represalia|o
retention|retención, conservación|o
rotational|rotacional, de rotación|o
shithead|imbécil, pendejo (coloq.)|o
sidereal|sideral, de las estrellas|o
sleepover|pijamada, noche en casa de un amigo|o
smelt|fundir (mineral); eperlano (pez); pasado de smell|v;o;o
sonnet|soneto|o
splatter|salpicar; salpicadura|v;o
strumpet|ramera, mujerzuela|o
stylist|estilista, peluquero, asesor de moda; estilista, escritor de estilo refinado|o;o
subgroup|subgrupo|o
superhuman|sobrehumano|o
swimsuit|traje de baño|o
talkative|conversador, parlanchín|o
theorize|teorizar, especular|v
trapping|caza con trampas; trappings: símbolos externos, parafernalia|o;n
unambiguously|inequívocamente, sin ambigüedad|o
unfairly|injustamente|o
unipolar|unipolar, con un solo polo o potencia dominante|o
untested|no probado, sin probar|o
upturn|repunte, mejora, alza|o
utensil|utensilio de cocina|o
warily|con cautela, con recelo|o
amyloid|amiloide, depósito anormal de proteína (en un tejido)|o
apparel|ropa, indumentaria|o
aquaculture|acuicultura, cría de peces y mariscos|o
beekeeper|apicultor|o
behemoth|gigante, coloso|o
bioluminescence|bioluminiscencia|o
boron|boro (elemento químico, B)|o
budgie|periquito|o
collarbone|clavícula|o
commissary|economato, proveeduría (del ejército, de la cárcel); comedor, cantina|o;o
concave|cóncavo|o
conceptually|conceptualmente|o
conduit|conducto, tubería; vía, canal de transmisión|o;o
constitutionally|constitucionalmente; por naturaleza, por constitución|o;o
convulsion|convulsión, ataque; convulsión, agitación, trastorno|o;o
correctness|corrección, exactitud; political correctness: lenguaje políticamente correcto|o;n
creatively|creativamente, con imaginación|o
crucify|crucificar; crucificar, criticar duramente|v;v
cruelly|cruelmente|o
cynic|cínico, desconfiado de los motivos ajenos|o
dabble|incursionar, hacer algo como aficionado; chapotear|v;v
darkly|sombríamente, de forma amenazante; en colores oscuros|o;o
dashboard|tablero, salpicadero; panel de control (de datos)|o;o
declassification|desclasificación|o
dexterity|destreza manual, habilidad; agilidad mental|o;o
dignitary|dignatario|o
dipole|dipolo|o
distill|destilar; extraer la esencia de, sintetizar|v;v
echolocation|ecolocalización|o
embryonic|embrionario; incipiente, en fase inicial|o;o
empathetic|empático|o
enactment|promulgación (de una ley); representación, escenificación|o;o
encore|bis, pieza extra que pide el público; ¡otra!|o;o
exhilarating|emocionante, estimulante|o
fanaticism|fanatismo|o
favela|favela, barrio marginal brasileño|o
firecracker|petardo, cohete|o
fission|fisión, división (de átomos o células)|o
fonio|fonio, cereal de África occidental|o
foreground|primer plano|o
forfeit|perder (como sanción); prenda, multa, sanción|v;o
forfeiture|decomiso, pérdida de bienes o derechos como sanción|o
gecko|geco, salamanquesa|o
genitalia|genitales, órganos sexuales|o
genomic|genómico|o
glade|claro (del bosque)|o
golly|¡caramba! (sorpresa) (coloq.)|o
grotesque|grotesco, deforme, estrafalario|o
haggle|regatear|v
hardwired|innato, integrado|o
horseshoe|herradura|o
hospice|hospicio para enfermos terminales, centro de cuidados paliativos|o
imp|diablillo; niño travieso|o;o
improbable|improbable, poco probable|o
insecticide|insecticida|o
instructional|didáctico, educativo|o
intercontinental|intercontinental|o
intimately|íntimamente, a fondo; íntimamente, en lo sexual o privado|o;o
intrinsically|intrínsecamente, en sí mismo|o
invariant|invariable; invariante (magnitud que no cambia)|o;o
juncture|coyuntura, momento; juntura, unión|o;o
keg|barril pequeño|o
kraut|alemán (ofensivo, coloq.); chucrut|o;o
latent|latente, oculto|o
legalization|legalización|o
ligand|ligando|o
livid|furioso, lívido de rabia; amoratado (de un moretón)|o;o
megawatt|megavatio, megawatt|o
miscellaneous|variado, diverso, misceláneo|o
mismanage|administrar mal, gestionar mal|v
mothball|archivar, dejar en suspenso; mothballs: bolas de naftalina|v;n
nape|nuca|o
nucleic|nucleic acid: ácido nucleico, ADN o ARN|n
opine|opinar|v
outcast|paria, marginado|o
perseverance|perseverancia, constancia|o
planter|maceta, jardinera; hacendado, dueño de una plantación|o;o
plasticity|plasticidad, capacidad de adaptarse|o
primordial|primordial, primigenio|o
projector|proyector|o
protestor|manifestante|o
protocell|protocélula|o
psyche|psique, mente, alma|o
raincoat|impermeable, piloto|o
reassess|reevaluar|v
recap|resumen, recapitulación; resumir, recapitular|o;v
recognizable|reconocible|o
reload|recargar|v
resettlement|reasentamiento|o
rigor|rigor, exactitud; rigor mortis: rigidez cadavérica|o;n
router|router, enrutador; fresadora (de carpintería)|o;o
rudely|groseramente, con mala educación; bruscamente|o;o
saree|sari|o
savanna|sabana|o
scapula|escápula, omóplato|o
scour|rastrear, buscar a fondo; restregar, fregar|v;v
seamlessly|sin problemas, sin interrupciones|o
sentient|sensible, consciente|o
simplification|simplificación|o
spoiler|spoiler, revelación de la trama; alerón (de auto)|o;o
sponsorship|patrocinio|o
stallion|semental, caballo|o
strum|rasguear (la guitarra)|v
subculture|subcultura|o
sublime|sublime|o
surveyor|agrimensor, topógrafo, perito|o
teem|teem with: estar lleno de, rebosar de; llover a cántaros|n;v
teeny|chiquitito (coloq.)|o
tidal|de las mareas, mareomotriz|o
touchy|susceptible, quisquilloso; delicado, espinoso|o;o
transponder|transpondedor|o
unbridled|desenfrenado|o
underline|subrayar; destacar, recalcar|v;v
unintentionally|sin querer, sin intención|o
unmistakable|inconfundible, inequívoco|o
usable|utilizable, usable|o
uuh|eh, este (vacilación)|o
variability|variabilidad|o
yoy|interanual|o
abdicate|abdicar, renunciar (a un trono o deber)|v
adjective|adjetivo|o
adventurer|aventurero|o
afresh|de nuevo, otra vez|o
agonize|angustiarse, atormentarse|v
altruistic|altruista|o
ambivalent|ambivalente|o
amplification|amplificación|o
anesthetic|anestésico|o
assimilate|asimilar, integrar; integrarse, adaptarse|v;v
atrocious|atroz, pésimo|o
audiobooks|audiolibros, plural de audiobook|o
avian|aviar, de las aves|o
belch|eructar|v
bluefin|atún rojo|o
bluish|azulado|o
bookie|corredor de apuestas|o
botanist|botánico|o
brocade|brocado|o
caffeine|cafeína|o
calibre|calibre, nivel, categoría; calibre (de un arma)|o;o
