# Generated by tools/dictgen — do not edit by hand.
# Language: English (en)
# Glosses in Indonesian. Format: word|gloss|feats — joined to lex.txt on the
# headword. A word this file does not cover falls back to gloss.en.txt, so a
# translation in progress shows Indonesian where it has one and English elsewhere.
#
# feats is copied from gloss.en.txt, not recomputed: it states the class and
# person of each sense of the English word, which is the same fact whichever
# language explains it. That is why a gloss here must keep the sense count of
# the English gloss it translates — the two are aligned by position.
#
# Glosses on this file only are generated with an LLM and are not derived from
# any licensed corpus. See NOTICE at the repo root.
you|kamu, Anda (satu orang atau lebih)|f2s2p
reimagine|membayangkan ulang, memikirkan kembali|v
relaxation|relaksasi, istirahat|o
scurry|berlari kecil tergesa-gesa|v
sender|pengirim|o
shipbuilding|pembuatan kapal|o
sorrowful|sedih, pilu|o
spanking|pukulan di pantat; baru gres (bahasa lisan)|o;o
spire|menara lancip|o
statistician|ahli statistik|o
stylistic|tentang gaya|o
subdivide|membagi lagi|v
sulfur|belerang|o
supermassive|supermasif (lubang hitam)|o
superstition|takhayul|o
talker|pembicara|o
teacup|cangkir teh|o
telepaths|para telepat, bentuk jamak dari telepath|o
tinge|sedikit sentuhan, semburat|o
twig|ranting|o
unelected|tidak dipilih|o
wanderer|pengembara|o
wop|sebutan menghina untuk orang Italia (bahasa lisan)|o
abet|membantu (kejahatan)|v
anatomical|anatomis|o
anecdote|anekdot|o
artisan|perajin, tukang|o
bigotry|kefanatikan, intoleransi|o
biochemistry|biokimia|o
blizzard|badai salju|o
blogging|ngeblog|o
bluster|gertakan kosong; menggertak|o;v
bulwark|tembok pertahanan; benteng pelindung|o;o
bystander|penonton, orang yang kebetulan ada|o
centrally|di pusat|o
coffer|peti uang (biasanya coffers: kas, dana)|o
collusion|kolusi, persekongkolan|o
conspicuous|mencolok|o
contra|melawan, bertentangan dengan|o
corporatism|korporatisme|o
corporatist|korporatis|o
counterbalance|mengimbangi|v
digestive|tentang pencernaan|o
digitalization|digitalisasi|o
dislocate|terkilir, keseleo; mengacaukan|v;v
dreary|suram, membosankan|o
eloquence|kefasihan berbicara|o
emotionless|tanpa emosi|o
encroachment|perambahan, penyerobotan|o
entice|membujuk, memikat|v
everlasting|abadi|o
experimenter|peneliti, pelaku percobaan|o
extortion|pemerasan|o
fiend|iblis; penggila (bahasa lisan)|o;o
firepower|daya tembak|o
fluoride|fluorida|o
foothold|pijakan, posisi yang kokoh|o
gander|angsa jantan; lihat sekilas (bahasa lisan)|o;o
gel|gel; kompak, menyatu|o;v
giddy|pusing; girang|o;o
hake|ikan hake|o
header|kepala halaman; sundulan (sepak bola)|o;o
heavyweight|kelas berat (tinju); tokoh penting|o;o
heiress|ahli waris perempuan|o
hormonal|hormonal|o
humid|lembap, gerah|o
impedance|impedansi|o
imperfection|cacat, ketidaksempurnaan|o
impossibility|kemustahilan|o
inescapable|tak terelakkan|o
insurrection|pemberontakan|o
interconnectedness|keterkaitan|o
involuntary|tak disengaja, tanpa sadar|o
lexicon|kosakata, leksikon|o
libertarian|libertarian, penganut kebebasan individu|o
lowdown|fakta sebenarnya (bahasa lisan); hina, tidak terhormat|o;o
marshmallow|marshmallow|o
mediator|penengah, mediator|o
medley|campuran|o
migraine|migrain|o
milkshake|milkshake, susu kocok|o
misrule|pemerintahan yang buruk|o
moderator|moderator, pemimpin diskusi; moderator forum|o;o
nutritious|bergizi|o
omission|penghilangan, kelalaian|o
organist|pemain organ|o
overture|overtur, musik pembuka; pendekatan awal|o;o
passively|secara pasif|o
payer|pembayar|o
pebble|kerikil|o
penitentiary|penjara|o
pic|foto (bahasa lisan)|o
possessive|posesif, cemburu mengekang; posesif, penanda milik (tata bahasa)|o;o
predicate|predikat (bagian kalimat); mendasarkan (pada)|o;v
preemptive|preventif, mendahului untuk mencegah|o
preoccupation|keasyikan, obsesi|o
preschool|taman kanak-kanak, prasekolah|o
propeller|baling-baling|o
protrude|menonjol, mencuat|v
radicalize|meradikalisasi|v
reactive|reaktif, menanggapi alih-alih memulai; reaktif (secara kimia)|o;o
reassuringly|dengan menenangkan|o
reborn|terlahir kembali; diperbarui, bangkit kembali|o;o
redouble|melipatgandakan (usaha)|v
redundancy|pemutusan hubungan kerja; pengulangan yang tidak perlu|o;o
redundant|berlebihan, tidak diperlukan; di-PHK|o;o
repel|memukul mundur, menangkis; menjijikkan|v;v
rhino|badak|o
skillfully|dengan terampil|o
slander|fitnah; memfitnah|o;v
snowfall|curah salju|o
stagflation|stagflasi|o
stepmother|ibu tiri|o
stupidly|dengan bodoh|o
swerve|membelok tiba-tiba|v
taxon|takson|o
theoretically|secara teori|o
totalitarianism|totalitarianisme|o
traumatize|membuat trauma|v
triangular|berbentuk segitiga|o
trilateral|trilateral, tiga pihak|o
trolley|troli, kereta dorong; trem|o;o
trudge|berjalan dengan susah payah|v
uhhh|eee (ragu-ragu)|o
understate|mengecilkan, menyatakan lebih ringan dari kenyataan|v
unfounded|tidak berdasar|o
unpredictability|ketidakpastian, sifat sulit ditebak|o
unused|tidak terpakai|o
varicella|cacar air|o
absorption|penyerapan; keasyikan, kekhusyukan|o;o
aggie|mahasiswa sekolah pertanian (bahasa lisan)|o
angelic|seperti malaikat|o
assuage|meredakan (rasa sakit, rasa bersalah)|v
attribution|atribusi, penyebutan sumber|o
backslide|kembali ke kebiasaan buruk|v
barrage|tembakan bertubi-tubi; rentetan (pertanyaan)|o;o
baton|tongkat (dirigen, pelari estafet, atau polisi)|o
caricature|karikatur|o
crease|lipatan, kerutan; mengerut, melipat|o;v
discord|perselisihan; bunyi sumbang|o;o
dishonour|aib, noda|o
ecstatic|sangat gembira|o
emancipation|emansipasi, pembebasan|o
enforceable|dapat ditegakkan|o
fintech|teknologi finansial, tekfin|o
harem|harem (tempat tinggal kaum wanita); para istri seorang lelaki|o;o
headscarf|kerudung, tudung kepala|o
incorporation|pemasukan, penggabungan; pendirian perusahaan|o;o
indiscriminate|sembarangan, membabi buta|o
instrumentation|peralatan, instrumen yang dipakai; aransemen instrumen musik|o;o
interracial|antarras|o
ladle|sendok sayur, gayung|o
lowland|dataran rendah|o
manipulator|manipulator, orang yang suka memanipulasi|o
milord|tuanku (sapaan)|o
misstep|kesalahan, salah langkah|o
normality|keadaan normal|o
normative|normatif|o
outing|tamasya, jalan-jalan; pengungkapan orientasi seksual seseorang|o;o
pariah|orang buangan, paria|o
petticoat|rok dalam|o
resolutely|dengan tegas, dengan teguh|o
roadblock|penghalang jalan; hambatan|o;o
sari|sari (pakaian wanita Asia Selatan)|o
shard|pecahan tajam, beling|o
sterile|mandul; steril, suci hama|o;o
topical|aktual, hangat diberitakan; topikal, dioleskan pada kulit|o;o
wallpaper|kertas dinding|o
wean|menyapih; wean off: membuat berhenti secara bertahap|v;n
wreath|karangan bunga|o
accentuate|menonjolkan, menekankan|v
acidification|pengasaman|o
acrobat|akrobat, pemain akrobat|o
adept|mahir|o
adios|dadah, sampai jumpa (bahasa lisan)|o
adjoin|bersebelahan dengan|v
adultery|perzinaan, perselingkuhan|o
airliner|pesawat penumpang|o
amenable|bersedia, terbuka|o
anonymity|anonimitas, ketanpanamaan|o
arepa|arepa, roti pipih jagung (Venezuela, Kolombia)|o
arousal|gairah, rangsangan|o
arranger|penata musik, arranger|o
atoll|atol, pulau karang berbentuk cincin|o
atrium|atrium, ruang tengah; serambi jantung|o;o
axial|aksial, tentang poros|o
benevolent|baik hati, murah hati|o
blockhead|orang bodoh, dungu|o
bombard|membombardir, menyerang bertubi-tubi|v
breathlessly|dengan terengah-engah; dengan penuh semangat|o;o
capillary|pembuluh kapiler|o
carton|kotak karton, kardus|o
caterpillar|ulat|o
clinically|secara klinis, secara medis; secara dingin|o;o
colloquially|dalam bahasa sehari-hari|o
cram|menjejalkan; belajar sistem kebut semalam|v;v
crevice|celah sempit|o
daydream|lamunan; melamun|o;v
debit|debit|o
decompose|membusuk; terurai|v;v
dem|mereka (bahasa lisan, = them)|o
detrimental|merugikan|o
deviate|menyimpang|v
disapproval|ketidaksetujuan|o
drunkard|pemabuk|o
electrify|mengalirkan listrik; menggetarkan hati|v;v
falsely|secara keliru, secara tidak benar|o
frontman|vokalis utama; wajah publik, juru bicara|o;o
generalization|generalisasi|o
geneticist|ahli genetika|o
giraffe|jerapah|o
handicraft|kerajinan tangan|o
hunh|hah? (heran atau bertanya)|o
imaginable|terbayangkan|o
impulsive|impulsif, menurutkan dorongan hati|o
incoherent|tidak runtut, tidak jelas|o
innkeeper|pemilik penginapan|o
internationalize|menginternasionalkan|v
jargon|jargon, istilah khusus|o
joyride|kebut-kebutan dengan mobil curian|o
justly|dengan adil|o
keynote|tema pokok; keynote speech: pidato utama|o;n
landowner|tuan tanah, pemilik tanah|o
lemme|biar aku (bahasa lisan)|o
logarithmic|logaritmis|o
lore|pengetahuan tradisional, cerita turun-temurun|o
malignant|ganas (kanker); jahat|o;o
mildly|sedikit, agak; dengan lembut|o;o
morbid|muram, terobsesi pada kematian|o
multisite|di beberapa lokasi|o
musing|renungan|o
nab|menangkap, menyambar (bahasa lisan)|v
observance|kepatuhan (pada hukum, adat); upacara keagamaan|o;o
orangutan|orang utan|o
oscillation|osilasi, ayunan bolak-balik|o
outspoken|blak-blakan, terus terang|o
overwork|bekerja terlalu keras|v
oxidation|oksidasi|o
parabola|parabola|o
paradoxical|paradoksal|o
perestroika|perestroika, restrukturisasi Soviet|o
permissible|diperbolehkan|o
plume|bulu; kepulan asap|o;o
pretence|kepura-puraan|o
puffy|bengkak, sembap|o
quotient|hasil bagi|o
rabble|gerombolan orang yang ricuh|o
rebate|potongan harga, pengembalian sebagian uang|o
renegade|pengkhianat, pembelot|o
respite|jeda, istirahat sejenak|o
restive|gelisah|o
scribble|mencoret-coret, menulis asal-asalan|v
seam|jahitan, kampuh; lapisan batu bara|o;o
shackle|belenggu; membelenggu|o;v
showrunner|penanggung jawab utama serial TV|o
shrub|semak|o
snare|jerat|o
snowflake|kepingan salju|o
sportsman|olahragawan|o
stalactite|stalaktit|o
stationary|tidak bergerak, diam|o
trashed|hancur, rusak berat; mabuk berat (bahasa lisan)|o;o
veterinary|tentang kedokteran hewan|o
visage|wajah, raut muka|o
viz|yaitu, yakni|o
waft|melayang lembut di udara|v
widget|gawai kecil, widget|o
wriggle|menggeliat|v
zoology|zoologi, ilmu hewan|o
adequacy|kecukupan, kememadaian|o
advantageous|menguntungkan|o
affliction|penderitaan; penyakit|o;o
approx|kira-kira (singkatan)|o
artefact|artefak, benda buatan manusia|o
assailant|penyerang|o
beholden|berutang budi|o
binge|pesta berlebihan, makan atau minum sepuasnya|o
blocker|penghalang, penghambat|o
boson|boson|o
businesspeople|kalangan pengusaha|o
buybacks|pembelian kembali saham, bentuk jamak dari buyback|o
carbonate|karbonat|o
celled|bersel (dalam single-celled, many-celled)|o
chisel|pahat|o
chump|orang bodoh (bahasa lisan)|o
cochlear|tentang koklea, rumah siput telinga|o
compatriot|teman senegara|o
confidant|orang kepercayaan, teman curhat|o
conspire|bersekongkol|v
conveniently|dengan mudah, kebetulan pas|o
croak|menguak, bersuara parau; mampus (bahasa lisan)|v;v
cubicle|bilik|o
debrief|meminta laporan setelah tugas|v
demonic|seperti setan, kesetanan|o
dissonance|ketidakselarasan, disonansi|o
dormant|tidak aktif, dorman|o
dreamy|seperti mimpi; menawan (bahasa lisan)|o;o
driverless|tanpa pengemudi, swakemudi|o
earthworm|cacing tanah|o
ejaculate|berejakulasi; berseru|v;v
epitomize|melambangkan, menjadi contoh sempurna|v
equitably|dengan adil|o
fatally|secara fatal, mematikan|o
fateful|menentukan, bersejarah|o
feline|tentang kucing; kucing, hewan sebangsa kucing|o;o
filament|filamen, benang halus|o
fracking|fracking, rekah hidraulik|o
fractional|sangat kecil; tentang pecahan|o;o
fungal|tentang jamur|o
funnel|corong; menyalurkan|o;v
gamification|gamifikasi|o
geeks|para kutu buku, penggemar berat (bahasa lisan), bentuk jamak dari geek|o
geographer|ahli geografi|o
guerilla|gerilyawan|o
habitual|biasa, karena kebiasaan; tetap, langganan (orang yang biasa melakukan sesuatu)|o;o
hilt|gagang pedang atau pisau; to the hilt: sepenuhnya|o;n
hopelessly|tanpa harapan; benar-benar, sama sekali|o;o
hotline|saluran siaga, hotline|o
hymen|selaput dara|o
hyperbolic|hiperbolis, dilebih-lebihkan; tentang hiperbola|o;o
hypertension|tekanan darah tinggi, hipertensi|o
hypocritical|munafik, bermuka dua|o
illiterate|buta huruf|o
illumination|penerangan, cahaya; pencerahan, pemahaman|o;o
incubator|inkubator (bayi atau telur); inkubator bisnis|o;o
infraction|pelanggaran|o
insufficiently|kurang memadai|o
kilowatt|kilowatt|o
laggard|orang yang lamban, yang tertinggal|o
laudable|terpuji|o
mammalian|tentang mamalia|o
mayoral|tentang wali kota|o
mea|mea culpa: salahku, pengakuan kesalahan|n
microbiome|mikrobioma|o
miscarriage|keguguran; miscarriage of justice: salah vonis, peradilan sesat|o;n
mistakenly|secara keliru|o
mover|jasa pindahan; penggerak, pengusul|o;o
munch|mengunyah, makan dengan lahap|v
nomadic|nomaden, berpindah-pindah|o
nomenclature|tata nama, nomenklatur|o
ominously|dengan mengancam, menandakan hal buruk|o
oncologist|dokter kanker, onkolog|o
onerous|memberatkan|o
opportunistic|oportunis, memanfaatkan kesempatan, sering demi diri sendiri|o
outreach|upaya menjangkau dan membantu masyarakat|o
pacemaker|alat pacu jantung; pelari penentu kecepatan|o;o
pacifist|penganut pasifisme, penentang segala perang dan kekerasan|o
permutation|permutasi, salah satu kemungkinan urutan|o
petrochemical|bahan petrokimia, zat kimia dari minyak atau gas|o
pheromone|feromon, sinyal kimia yang dilepaskan hewan|o
plow|membajak; bajak, alat pembalik tanah; plow through: menerobos dengan susah payah|v;o;n
plush|mewah, lembut dan tebal; kain beludru tebal|o;o
prohibitively|begitu tinggi sampai tak terjangkau|o
racially|secara ras, dari segi ras|o
radial|menyebar dari titik pusat|o
rainwater|air hujan|o
rationalize|mencari alasan pembenaran; mengefisienkan|v;v
recast|mengubah bentuk, menyusun ulang; mengganti pemeran|v;v
redraw|menggambar ulang, mengubah (batas, rencana)|v
richly|dengan mewah, berlimpah; sepenuhnya, sungguh-sungguh|o;o
righteousness|kebenaran moral, kesalehan|o
scorer|pencetak gol, pencetak angka; pencatat skor|o;o
seclusion|keterasingan, pengasingan diri|o
solidify|mengeras, memadat; memperkuat, memantapkan|v;v
starch|pati, karbohidrat dalam kentang, nasi, dsb.; kanji pengeras kain|o;o
subatomic|subatom, lebih kecil dari atom|o
taluka|wilayah administratif di India|o
tantrum|amukan, ledakan marah seperti anak kecil|o
tedious|membosankan dan bertele-tele, melelahkan|o
tolerable|dapat ditoleransi, tertahankan; lumayan|o;o
toolkit|perangkat alat, seperangkat perkakas|o
trachoma|trakoma, infeksi mata menular|o
trough|palung, bak tempat makan atau minum ternak; titik terendah|o;o
ulcer|tukak, luka terbuka, misalnya di lambung|o
unchallenged|tidak dipertanyakan atau ditentang|o
undertaker|pengurus jenazah, pengurus pemakaman|o
unimportant|tidak penting|o
untapped|belum dimanfaatkan|o
untouched|tidak tersentuh, tidak berubah; tidak dimakan|o;o
upsurge|lonjakan, peningkatan mendadak|o
wicket|gawang dalam kriket; pintu pagar kecil|o;o
acknowledgement|pengakuan; ucapan terima kasih, penghargaan|o;o
acumen|ketajaman pikiran, kecakapan|o
append|menambahkan di akhir|v
apprehend|menangkap, menahan; memahami|v;v
apprehensive|cemas, khawatir|o
archery|panahan|o
archival|arsip, dari catatan arsip|o
asphalt|aspal|o
avid|gemar, antusias|o
barefoot|bertelanjang kaki, tanpa alas kaki|o
beak|paruh|o
beginner|pemula|o
bravely|dengan berani|o
breathtaking|menakjubkan, memukau|o
candidiasis|kandidiasis, infeksi jamur|o
canonical|baku, diterima umum; kanonik, menurut hukum gereja atau kitab suci|o;o
carcass|bangkai|o
centipede|lipan, kelabang|o
charade|kepura-puraan, sandiwara konyol; charades: permainan tebak kata dengan peragaan|o;n
ciphertext|teks sandi, teks terenkripsi|o
citrus|jeruk-jerukan, seperti jeruk, lemon, jeruk nipis|o
closeness|keakraban; kedekatan jarak|o;o
clueless|tidak tahu apa-apa, bodoh (cakapan)|o
cocksucker|bajingan, makian kasar untuk laki-laki (cakapan)|o
commencement|permulaan, awal; upacara wisuda|o;o
commonality|kesamaan, ciri bersama|o
conjugate|mengonjugasikan, menyebutkan bentuk-bentuk kata kerja; terkonjugasi, berpasangan|v;o
connectome|konektom, peta semua sambungan saraf di otak|o
conqueror|penakluk, pemenang|o
conspirator|komplotan, anggota persekongkolan|o
decelerate|memperlambat, melambat|v
devilish|jahat, keji; nakal, usil|o;o
devotional|religius, bersifat ibadah|o
dimple|lesung pipit|o
disqualify|mendiskualifikasi; membuat tidak layak|v;v
dissect|membedah; mengupas secara rinci|v;v
ducky|bagus, hebat (cakapan); sayang (cakapan)|o;o
ecclesiastical|gerejawi, berkaitan dengan gereja atau rohaniwan|o
eigenvalue|nilai eigen (matematika)|o
elude|menghindari, lolos dari; sulit dipahami|v;v
endurance|daya tahan, stamina|o
erstwhile|dahulu, bekas, mantan|o
extravagant|boros, berlebihan dalam belanja; berlebihan, mencolok|o;o
fanatical|fanatik|o
feasibility|kelayakan, dapat tidaknya sesuatu dilakukan|o
flattery|sanjungan, pujian berlebihan|o
folio|lembar, halaman; buku berformat besar|o;o
foo|nama contoh (dalam contoh pemrograman)|o
fresco|fresko, lukisan pada plester basah|o
genocidal|bersifat genosida, bertujuan memusnahkan suatu bangsa|o
genotype|genotipe, susunan genetik|o
gladiator|gladiator, petarung bersenjata di Roma kuno|o
grammatical|gramatikal, tentang tata bahasa; sesuai kaidah tata bahasa|o;o
habitation|tempat tinggal, hunian; hal mendiami suatu tempat|o;o
hairdresser|penata rambut, tukang pangkas|o
handshake|jabat tangan|o
hardworking|rajin, pekerja keras|o
hemorrhage|pendarahan hebat; mengalami pendarahan hebat; kehilangan dengan cepat|o;v;v
hombre|lelaki, bung (cakapan)|o
humanize|memanusiakan, membuat lebih manusiawi|v
hydro|tenaga air, listrik tenaga air|o
impairment|gangguan, kerusakan, disabilitas|o
incendiary|pembakar, dapat menyulut api; menghasut, provokatif|o;o
incessant|terus-menerus, tiada henti|o
infringement|pelanggaran|o
inkling|firasat, sedikit gambaran|o
inspirational|inspiratif, memberi ilham|o
insubordination|pembangkangan terhadap atasan|o
insular|berpikiran sempit, tertutup; kepulauan, berkaitan dengan pulau|o;o
introductory|pengantar, pendahuluan|o
justifiable|dapat dibenarkan, dapat dipertanggungjawabkan|o
liken|mengibaratkan, menyamakan|v
mage|penyihir, ahli sihir|o
mammogram|mamogram, rontgen payudara|o
mastermind|dalang, otak di balik rencana; mendalangi, merencanakan dan mengarahkan|o;v
menstrual|haid, menstruasi|o
metropolis|kota besar, metropolitan|o
miniskirt|rok mini|o
narcissist|narsisis, orang yang terobsesi pada diri sendiri|o
nightstand|meja samping tempat tidur|o
nominally|hanya di atas kertas, hanya namanya; secara resmi|o;o
noteworthy|patut dicatat, menonjol|o
occupant|penghuni, pemakai tempat|o
odious|menjijikkan, memuakkan|o
phytoplankton|fitoplankton, tumbuhan mikroskopis yang mengapung di air|o
playable|dapat dimainkan|o
predate|mendahului, lebih dulu ada|v
preempt|mendahului untuk mencegah; menggantikan|v;v
prelude|pendahuluan, awal; prelude, musik pembuka pendek|o;o
provost|kepala kolese; pejabat senior universitas|o;o
punishable|dapat dihukum|o
quake|gempa bumi; gemetar, bergetar|o;v
rabbinic|kerabian, berkaitan dengan rabi|o
racer|pembalap, kendaraan atau hewan pacu|o
rave|meracau; memuji habis-habisan; pesta dansa besar|v;v;o
regrettably|sayangnya|o
retrofit|memasang komponen baru pada barang lama|v
revoir|au revoir: sampai jumpa|n
riff|riff, frase musik pendek yang diulang; variasi dari suatu tema|o;o
rightist|berhaluan kanan, orang sayap kanan|o
saturate|merendam sepenuhnya; memenuhi hingga jenuh|v;v
securely|dengan kuat, dengan aman|o
sequential|berurutan, satu demi satu|o
sequester|mengasingkan, mengisolasi; menyimpan (karbon)|v;v
shoreline|garis pantai, tepi laut atau danau|o
snipe|menembak dari persembunyian; menyindir, melontarkan kritik tajam|v;v
spiritually|secara rohani, secara religius|o
statist|etatis, mendukung kendali negara|o
subconscious|bawah sadar|o
submissive|patuh, penurut|o
subsidiarity|subsidiaritas, prinsip bahwa keputusan diambil di tingkat serendah mungkin|o
