# Generated by tools/dictgen — do not edit by hand.
# Language: English (en)
# Glosses in Portuguese. Format: word|gloss|feats — joined to lex.txt on the
# headword. A word this file does not cover falls back to gloss.en.txt, so a
# translation in progress shows Portuguese where it has one and English elsewhere.
#
# feats is copied from gloss.en.txt, not recomputed: it states the class and
# person of each sense of the English word, which is the same fact whichever
# language explains it. That is why a gloss here must keep the sense count of
# the English gloss it translates — the two are aligned by position.
#
# Glosses on this file only are generated with an LLM and are not derived from
# any licensed corpus. See NOTICE at the repo root.
you|você, vocês (uma ou várias pessoas)|f2s2p
staunch|leal, firme; estancar (sangue)|o;v
technologist|tecnólogo, especialista em tecnologia|o
triad|tríade; tríade chinesa (máfia)|o;o
uncommon|incomum, raro|o
unnatural|antinatural, anormal; artificial, forçado|o;o
vagabond|vagabundo, andarilho|o
wag|abanar (o rabo); brincalhão, piadista|v;o
whichever|qualquer um que, o que for; não importa qual|o;o
woefully|lamentavelmente, terrivelmente (woefully inadequate)|o
wormhole|buraco de minhoca (túnel hipotético no espaço-tempo); buraco feito por verme|o;o
zinc|zinco|o
accelerator|acelerador (pedal do carro); acelerador de partículas|o;o
adhesive|adesivo, cola; adesivo, pegajoso|o;o
ameliorate|melhorar|v
analogous|análogo, semelhante|o
appliance|eletrodoméstico (geladeira, torradeira)|o
astound|assombrar, deixar pasmo|v
beehive|colmeia|o
biosphere|biosfera|o
bowler|arremessador (críquete); bowler hat: chapéu-coco|o;n
changer|algo que muda (game changer)|o
cheesy|brega, piegas; de queijo|o;o
childbirth|parto|o
choreography|coreografia|o
climber|alpinista, escalador; trepadeira|o;o
coating|revestimento, camada|o
conserve|conservar, poupar; compota, geleia|v;o
cultivation|cultivo, lavoura; cultivo, desenvolvimento (de uma habilidade, amizade)|o;o
cynicism|cinismo (crença de que as pessoas só agem por interesse)|o
existent|existente|o
giver|doador, quem dá|o
interbank|interbancário|o
intro|introdução, intro (coloq.)|o
loyalist|legalista, partidário fiel (a um governante ou governo)|o
monetize|monetizar, ganhar dinheiro com|v
orb|orbe, esfera; orbe real (globo cravejado levado pelo monarca)|o;o
outstretch|estender (geralmente outstretched arms)|v
ozone|ozônio; ozone layer: camada de ozônio|o;n
photosynthesis|fotossíntese|o
ramen|lámen, ramen (sopa japonesa de macarrão)|o
reactionary|reacionário|o
realist|realista (pessoa prática); artista ou escritor realista|o;o
reissue|reeditar, relançar; reedição, relançamento|v;o
resonance|ressonância (som profundo e prolongado); significado, força emocional|o;o
resurrection|ressurreição; renascimento, revitalização|o;o
sapiens|Homo sapiens: espécie humana moderna|n
scolding|bronca, repreensão; repreendendo, gerúndio de scold|o;o
smoker|fumante|o
squarely|em cheio, diretamente; totalmente, inteiramente|o;o
stymie|bloquear, travar, obstruir|v
telomere|telômero|o
unanimous|unânime|o
undocumented|não documentado, sem registro; sem documentos (imigrantes)|o;o
attendee|participante|o
backer|apoiador, patrocinador|o
blurry|embaçado, borrado|o
classify|classificar|v
demographics|dados demográficos|o
devotee|devoto, fã, entusiasta|o
discrepancy|discrepância|o
dormitory|dormitório (quarto coletivo); alojamento estudantil (EUA)|o;o
downplay|minimizar, menosprezar|v
enclosure|cercado, recinto; anexo (enviado com carta)|o;o
endpoint|ponto final; terminal, dispositivo final de uma rede|o;o
executioner|carrasco|o
haughty|arrogante, altivo|o
helper|ajudante|o
inconvenient|inconveniente, incômodo|o
knave|patife, velhaco; valete (cartas)|o;o
laborer|trabalhador braçal, operário|o
launcher|lançador (de foguetes); inicializador (programa que abre apps)|o;o
legation|legação (missão diplomática abaixo de embaixada)|o
metallic|metálico|o
miniature|em miniatura, minúsculo; miniatura (cópia ou pintura pequena)|o;o
plentiful|abundante, farto|o
procurator|procurador (agente oficial); procurador, governador (Roma antiga)|o;o
recruitment|recrutamento|o
reliably|de forma confiável|o
satisfactory|satisfatório|o
serotonin|serotonina|o
subdivision|subdivisão; loteamento, condomínio residencial|o;o
tumult|tumulto, alvoroço|o
undemocratic|antidemocrático|o
unnoticed|despercebido|o
valet|criado pessoal, camareiro; manobrista|o;o
vegetation|vegetação|o
webpage|página da web|o
wring|torcer (para tirar água); wring one's hands: torcer as mãos (de aflição)|v;n
ail|afligir, adoecer|v
allege|alegar (sem provas)|v
ancestral|ancestral, herdado|o
antidepressant|antidepressivo|o
auditorium|auditório|o
bacterium|bactéria|o
bewilderment|perplexidade, confusão total|o
blatant|flagrante, descarado|o
bribery|suborno|o
budge|mexer(-se), mover um pouco; mudar de ideia, ceder|v;v
citadel|cidadela|o
coercive|coercitivo|o
coil|espiral, rolo; enrolar(-se) em espiral|o;v
coordinator|coordenador|o
deficient|deficiente, insuficiente|o
dissatisfaction|insatisfação, descontentamento|o
divergent|divergente|o
etcetera|etcétera, e assim por diante|o
fore|to the fore: em evidência, em destaque; frente, dianteira|n;o
fortification|fortificação; reforço, fortalecimento|o;o
gala|gala, grande celebração|o
garland|guirlanda, grinalda|o
grub|comida, rango (coloq.); larva|o;o
holdout|resistente, quem se recusa a ceder|o
immoral|imoral|o
impersonate|fazer-se passar por, imitar|v
interwar|entreguerras|o
jeopardy|perigo, risco (in jeopardy)|o
knowhow|know-how, conhecimento prático|o
languish|definhar, ficar abandonado; enfraquecer|v;v
lavish|generoso, luxuoso, suntuoso; esbanjar, cobrir de|o;v
legality|legalidade|o
librarian|bibliotecário|o
magnify|ampliar, aumentar|v
malicious|malicioso, mal-intencionado|o
mammoth|gigantesco, colossal; mamute|o;o
miscalculation|erro de cálculo, erro de avaliação|o
mycelium|micélio|o
ohhh|oh! (prolongado: compreensão, surpresa)|o
pane|vidraça, vidro (de janela)|o
parliamentarian|parlamentar|o
progression|progressão, evolução|o
promoter|promotor (de eventos); defensor (de uma ideia)|o;o
quip|tirada, gracejo; gracejar, brincar|o;v
recurrent|recorrente|o
segregate|segregar|v
sentry|sentinela|o
shipyard|estaleiro|o
spontaneously|espontaneamente|o
stewardship|gestão responsável, administração|o
suffragette|sufragista (início do século 20)|o
tycoon|magnata|o
unreliable|não confiável, pouco seguro|o
victorious|vitorioso|o
weighing|pesando, gerúndio de weigh|o
airstrike|ataque aéreo|o
applicable|aplicável|o
attributable|atribuível, devido a|o
bandwidth|largura de banda; disposição, capacidade mental (coloq.)|o;o
besiege|sitiar, cercar; assediar, bombardear (com pedidos)|v;v
blight|praga (doença de plantas); flagelo, mancha|o;o
cavity|cavidade; cárie|o;o
diffuse|difundir, espalhar; difuso, disperso|v;o
digitally|digitalmente|o
divinity|divindade (qualidade divina); divindade, deus; teologia|o;o;o
domino|dominó (peça do jogo); domino effect: efeito dominó|o;n
enthusiastically|com entusiasmo, entusiasticamente|o
equate|equiparar, igualar|v
femme|femme fatale: mulher fatal|n
feud|rixa, briga antiga|o
grader|corretor (quem corrige provas); aluno de certa série (fifth grader)|o;o
greasy|gorduroso, engordurado|o
hearty|caloroso, entusiasmado; farto, substancioso (refeição)|o;o
inflame|inflamar, exaltar; inflamar (deixar vermelho e inchado)|v;v
insignificant|insignificante|o
internship|estágio|o
invaluable|inestimável, valiosíssimo|o
latch|trinco, ferrolho; latch onto: agarrar-se a, apegar-se a|o;n
loosening|afrouxando, gerúndio de loosen|o
mag|revista (coloq.)|o
mutualization|mutualização (partilha de riscos ou custos entre membros)|o
odour|odor, cheiro|o
overload|sobrecarregar; sobrecarga, excesso|v;o
pollutant|poluente|o
pristine|imaculado, intocado|o
provocative|provocativo, provocador; provocante, sensual|o;o
reestablish|restabelecer|v
reflective|reflexivo, pensativo; refletor, refletivo|o;o
revel|deleitar-se (revel in); festejar ruidosamente, farrear|v;v
reverence|reverência, profundo respeito|o
rugged|acidentado, rochoso; de traços marcantes, rude, robusto|o;o
scalable|escalável|o
skiff|esquife, bote|o
suicidal|suicida; perigosíssimo, suicida|o;o
taker|quem pega ou aceita (risk-taker; any takers?)|o
tar|piche, alcatrão|o
timetable|horário, cronograma|o
tranquility|tranquilidade, calma|o
treacherous|traiçoeiro, desleal; perigoso, traiçoeiro|o;o
uncomfortably|desconfortavelmente|o
uplift|elevar, animar; melhora, ânimo|v;o
vie|competir, disputar (vie for)|v
wasp|vespa|o
anyplace|em qualquer lugar|o
bashing|ataque, crítica pública pesada; batendo, gerúndio de bash|o;o
bridle|freio, cabeçada (arreio da cabeça do cavalo); irritar-se, eriçar-se|o;v
cello|violoncelo|o
cerebral|cerebral, intelectual; cerebral (do cérebro)|o;o
circumstantial|circunstancial (circumstantial evidence)|o
clockwise|no sentido horário|o
credibly|de forma crível, com credibilidade|o
cyclone|ciclone|o
dearth|escassez, falta|o
denomination|denominação, confissão religiosa; valor (de moeda ou cédula)|o;o
fertilize|fecundar, fertilizar; adubar|v;v
foil|papel-alumínio, folha de metal; frustrar, impedir; contraponto (pessoa que contrasta com outra)|o;v;o
graffito|grafite (um único)|o
grope|tatear, andar às apalpadelas; apalpar, bolinar (sem consentimento)|v;v
grossly|extremamente, flagrantemente|o
hermit|eremita|o
homesick|com saudade de casa|o
honeybee|abelha-europeia, abelha de mel|o
illustrious|ilustre|o
implosion|implosão|o
ingenious|engenhoso|o
issuer|emissor, emitente (de ações, cartões)|o
jobless|desempregado|o
lapse|caducar, expirar; cair, recair (em); lapso, falha|v;v;o
literal|literal|o
millisecond|milissegundo|o
mite|ácaro; criancinha, pequerrucho; a mite: um pouquinho|o;o;n
monumental|monumental|o
mundane|banal, trivial|o
mythological|mitológico|o
obstinate|obstinado, teimoso|o
ouster|destituição, deposição|o
perceptual|perceptivo, da percepção|o
pore|poro; pore over: examinar atentamente, debruçar-se sobre|o;n
pornographic|pornográfico|o
quatrain|quadra, quarteto (estrofe de quatro versos)|o
rapidity|rapidez|o
reassurance|tranquilização, garantia, palavras de conforto|o
referee|árbitro, juiz; referência (pessoa que dá recomendação)|o;o
remarry|casar-se de novo|v
rim|borda, aro (de xícara, roda)|o
seminal|seminal, muito influente|o
spectacularly|espetacularmente|o
summation|resumo; soma|o;o
symmetrical|simétrico|o
televise|televisionar, transmitir pela TV|v
tertiary|terciário; superior (ensino)|o;o
thirteenth|décimo terceiro, 13º|o
tweak|ajustar, dar um retoque; beliscar e torcer|v;v
unease|inquietação, mal-estar|o
unprepared|despreparado|o
unrelated|sem relação, não relacionado|o
validate|validar, confirmar; validar, reconhecer (sentimentos)|v;v
vomiting|vômito; vomitando, gerúndio de vomit|o;o
washroom|banheiro|o
westward|rumo ao oeste|o
whataboutism|whataboutism, "e o fulano?" (responder a críticas apontando falhas alheias)|o
workpiece|peça de trabalho (objeto trabalhado por máquina ou ferramenta)|o
abate|diminuir, abrandar|v
appointee|nomeado, indicado|o
atheism|ateísmo|o
averse|avesso, contrário (averse to)|o
bluntly|sem rodeios, francamente|o
boredom|tédio|o
bottleneck|gargalo|o
buildup|acúmulo, aumento gradual|o
caliphate|califado|o
communicable|transmissível (doença)|o
contingency|contingência, eventualidade; contingency plan: plano de contingência, plano B|o;n
convertibility|conversibilidade (de moeda)|o
coping|enfrentamento (de dificuldades); lidando, gerúndio de cope|o;o
counterweight|contrapeso|o
diagnostics|diagnóstico, testes de diagnóstico|o
dispel|dissipar, afastar (medos, dúvidas)|v
encircle|cercar, rodear|v
falsehood|mentira, falsidade; falsidade (qualidade do que é falso)|o;o
freshly|recém-, acabado de|o
glitch|falha, defeito pequeno|o
ideologically|ideologicamente|o
imperialist|imperialista|o
implicate|implicar, envolver (num crime)|v
inadvertently|sem querer, por descuido|o
intangible|intangível, difícil de definir|o
interlocutor|interlocutor|o
keyhole|buraco da fechadura|o
laissez|laissez-faire: política de não intervenção|n
logistical|logístico|o
malign|difamar, falar mal de; maligno, nocivo|v;o
momentous|muito importante, decisivo|o
oxide|óxido|o
paraphrase|parafrasear; paráfrase|v;o
perilous|perigoso, arriscado|o
premia|prêmios, plural de premium|o
questioner|interrogador, quem pergunta|o
raspberry|framboesa; som de pum com a língua (debochado)|o;o
rebuke|repreender duramente; repreensão, reprimenda|v;o
recapture|recapturar, retomar; reviver, recriar (um sentimento)|v;v
relinquish|abrir mão de, renunciar a|v
renege|voltar atrás (numa promessa), faltar com a palavra|v
saith|diz (com he, she, it)|f3s
seductive|sedutor, tentador|o
seventeenth|décimo sétimo, 17º|o
shortsighted|imediatista, sem visão de futuro; míope|o;o
showdown|confronto final, acerto de contas|o
signify|significar, indicar|v
sixteenth|décimo sexto, 16º|o
sociologist|sociólogo|o
stellar|excelente, brilhante; estelar (das estrelas)|o;o
triumphant|triunfante, vitorioso|o
undesirable|indesejável|o
unjust|injusto|o
unnecessarily|desnecessariamente|o
watermelon|melancia|o
agility|agilidade|o
antigen|antígeno|o
backseat|banco de trás; take a backseat: ficar em segundo plano|o;n
campfire|fogueira (de acampamento)|o
caretaker|zelador, cuidador; interino, provisório (caretaker government)|o;o
cartilage|cartilagem|o
childcare|cuidados infantis, creche|o
cognition|cognição|o
colonize|colonizar|v
decentralization|descentralização|o
deprivation|privação, carência; dificuldade, penúria|o;o
dilute|diluir|v
dresser|cômoda; quem se veste (a smart dresser)|o;o
dumbass|babaca, idiota (coloq., vulgar)|o
enhancement|melhoria, aprimoramento|o
evoke|evocar, trazer à mente|v
exorbitant|exorbitante (preço)|o
expanse|extensão, vastidão|o
extrovert|extrovertido|o
fluent|fluente|o
forecaster|meteorologista, previsor|o
forsake|abandonar|v
frigate|fragata|o
hygiene|higiene|o
insignia|insígnia, emblema|o
lessen|diminuir, reduzir|v
mausoleum|mausoléu|o
navigator|navegador (quem traça a rota)|o
oppressive|opressivo, cruel e injusto; abafado, sufocante|o;o
parasitic|parasita, parasitário|o
persuasion|persuasão; crença, convicção, grupo|o;o
pigment|pigmento|o
plotting|conspiração, tramoia; tramando, gerúndio de plot|o;o
pogrom|pogrom (massacre organizado de uma minoria)|o
predictive|preditivo|o
rectangular|retangular|o
repentance|arrependimento|o
repetitive|repetitivo, monótono|o
roil|agitar, perturbar|v
scruple|escrúpulo (geralmente scruples)|o
sharpen|afiar, apontar|v
snapshot|foto instantânea; panorama, retrato (visão breve)|o;o
stabilizer|estabilizador|o
standstill|paralisação total|o
stupefy|estupefazer, atordoar, deixar pasmo|v
sturdy|resistente, robusto|o
subconsciously|inconscientemente, subconscientemente|o
subvert|subverter, minar|v
temporal|temporal (do tempo); temporal, secular (não religioso)|o;o
topper|cartola; cobertura, enfeite (colocado em cima)|o;o
unproductive|improdutivo|o
vacancy|vaga (de emprego); vaga, quarto disponível|o;o
visceral|visceral, instintivo|o
wedge|cunha, calço; enfiar, espremer (num espaço estreito)|o;v
yearly|anual, anualmente|o
anarchy|anarquia|o
audacity|audácia, ousadia, cara de pau|o
axle|eixo (de rodas)|o
bereaved|enlutado|o
biologically|biologicamente|o
bipolar|bipolar (de dois polos); bipolar (com transtorno bipolar)|o;o
calibrate|calibrar|v
carbohydrate|carboidrato|o
chiefly|principalmente|o
chopstick|pauzinho, hashi|o
choreograph|coreografar; orquestrar, planejar cuidadosamente|v;v
clergy|clero|o
coherence|coerência|o
confrontational|confrontador, briguento|o
dealings|negócios, relações|o
demonize|demonizar|v
deposition|depoimento juramentado; deposição, destituição|o;o
dogma|dogma|o
expressive|expressivo|o
fig|figo|o
foothill|contraforte (colina ao pé da montanha)|o
goddamned|maldito, desgraçado (palavrão forte)|o
godmother|madrinha|o
gorge|desfiladeiro, garganta; empanturrar-se, comer com voracidade|o;v
grad|formado, graduado (coloq.)|o
hijack|sequestrar (veículo, avião); apropriar-se de, sequestrar (para fins próprios)|v;v
holosuite|holossuíte (sala de simulações holográficas, ficção científica)|o
improvisation|improvisação, improviso|o
infernal|infernal (do inferno); terrível, irritante|o;o
insurmountable|intransponível, insuperável|o
internationalism|internacionalismo|o
intolerable|intolerável, insuportável|o
lawman|homem da lei, xerife|o
lifeline|corda de salvamento, boia; tábua de salvação (apoio vital)|o;o
mechanically|mecanicamente (por máquina); maquinalmente, sem pensar|o;o
monastic|monástico|o
nascent|nascente, emergente|o
nationalization|nacionalização, estatização|o
neoliberalism|neoliberalismo|o
newsletter|boletim informativo, newsletter|o
nomad|nômade|o
numerical|numérico|o
plural|plural|o
posthumous|póstumo|o
posturing|pose, fingimento (para impressionar); posando, gerúndio de posture|o;o
preposterous|absurdo, disparatado|o
principally|principalmente|o
propulsion|propulsão|o
prospective|potencial, futuro|o
randomize|aleatorizar|v
realistically|realisticamente, na prática; de modo realista, com realismo|o;o
replica|réplica|o
revisionist|revisionista|o
sectoral|setorial|o
simulator|simulador (flight simulator)|o
socket|tomada; cavidade, órbita (de articulação, olho)|o;o
stairwell|poço da escada, vão da escada|o
subspecies|subespécie|o
symbolize|simbolizar, representar|v
