# Generated by tools/dictgen — do not edit by hand.
# Language: English (en)
# Glosses in English. Format: word|gloss|feats — joined to lex.txt on the
# headword. A word this file does not cover falls back to gloss.en.txt.
#
# feats states the class and person of each sense, in the same order and with
# the same ";" separator as the gloss: v=verb, f=finite, g=grammatical,
# n=expression, o=other, followed by any persons (1s 2s 3s 1p 2p 3p). It is
# generated from the gloss, so correct the gloss and re-run — never this.
#
# Glosses on this file only are generated with an LLM and are not derived from
# any licensed corpus. See NOTICE at the repo root.
you|you (one person or several)|f2s2p
expanse|wide open area|o
extrovert|outgoing, sociable person|o
fluent|speaking smoothly and easily|o
forecaster|person who predicts (weather)|o
forsake|to abandon|v
frigate|warship|o
hygiene|cleanliness for health|o
insignia|badge, emblem|o
lessen|to reduce|v
mausoleum|large tomb building|o
navigator|person who plans a route|o
oppressive|cruel and unjust; heavy, stifling|o;o
parasitic|living off another organism|o
persuasion|persuading; belief, group|o;o
pigment|colouring substance|o
plotting|scheming; plotting, present participle of plot|o;o
pogrom|organized massacre of a minority|o
predictive|able to predict|o
rectangular|shaped like a rectangle|o
repentance|sincere regret for wrongdoing|o
repetitive|repeating, monotonous|o
roil|to stir up, to disturb|v
scruple|moral doubt (usu. scruples)|o
sharpen|to make sharp|v
snapshot|quick photograph; brief view|o;o
stabilizer|device that keeps something steady|o
standstill|complete stop|o
stupefy|to stun, to astonish|v
sturdy|strong, solid|o
subconsciously|without being aware|o
subvert|to undermine|v
temporal|of time; worldly, not religious|o;o
topper|top hat; thing added on top|o;o
unproductive|not productive|o
vacancy|unfilled job; available room|o;o
visceral|deeply felt, instinctive|o
wedge|triangular block; to force into a narrow space|o;v
yearly|every year|o
anarchy|disorder without government|o
audacity|boldness, cheek|o
axle|rod on which wheels turn|o
bereaved|having lost a loved one to death|o
biologically|in terms of biology|o
bipolar|having two poles; having bipolar disorder|o;o
calibrate|to adjust precisely|v
carbohydrate|nutrient in bread, rice, sugar|o
chiefly|mainly|o
chopstick|one of two sticks for eating|o
choreograph|to design dance steps; to arrange carefully|v;v
clergy|priests, ministers|o
coherence|logical consistency|o
confrontational|aggressive, likely to argue|o
dealings|business or personal relations|o
demonize|to portray as evil|v
deposition|sworn statement; removal from office|o;o
dogma|beliefs accepted without question|o
expressive|showing feeling|o
fig|soft sweet fruit|o
foothill|low hill at the base of a mountain|o
goddamned|damned, cursed (strong swear word)|o
godmother|woman who sponsors a child at baptism|o
gorge|narrow steep valley; to eat greedily|o;v
grad|graduate (colloq.)|o
hijack|to seize control of (a vehicle, a plane); to take over for one's own purposes|v;v
holosuite|room that creates holographic simulations (science fiction)|o
improvisation|making up on the spot|o
infernal|of hell; dreadful, annoying|o;o
insurmountable|impossible to overcome|o
internationalism|cooperation between nations|o
intolerable|unbearable|o
lawman|law officer, sheriff|o
lifeline|rope for saving life; vital means of support|o;o
mechanically|by machine; automatically, without thinking|o;o
monastic|of monks or monasteries|o
nascent|just beginning, emerging|o
nationalization|transfer to state ownership|o
neoliberalism|free-market economic ideology|o
newsletter|regular bulletin|o
nomad|person who moves from place to place|o
numerical|of numbers|o
plural|form meaning more than one|o
posthumous|after death|o
posturing|behaviour meant to impress; posturing, present participle of posture|o;o
preposterous|absurd|o
principally|mainly|o
propulsion|driving forward|o
prospective|expected, potential|o
randomize|to arrange at random|v
realistically|practically; in a lifelike way|o;o
replica|exact copy|o
revisionist|reinterpreting accepted history or doctrine|o
sectoral|of a sector|o
simulator|machine that imitates real conditions (flight simulator)|o
socket|hole for a plug; hollow for a joint or an eye|o;o
stairwell|shaft containing a staircase|o
subspecies|subdivision of a species|o
symbolize|to represent, to stand for|v
synonymous|meaning the same; closely associated|o;o
tandem|in tandem: together; bicycle for two|n;o
thunderclap|crash of thunder|o
unfavorable|negative, adverse|o
wetness|being wet|o
abusive|insulting; cruel, violent|o;o
adversely|harmfully|o
arbitration|settling a dispute by a neutral judge|o
backstory|history of a character before the story begins|o
charisma|compelling charm|o
commuter|person who travels daily to work|o
complacent|smugly satisfied, not alert to danger|o
contemplation|deep thought|o
crores|crores, plural of crore (ten million, in Indian English)|o
cruiser|large warship; motorboat; police car (US)|o;o;o
deceit|deception, lying|o
def|definitely (colloq.)|o
deregulate|to remove regulations from|v
dipshit|idiot (colloq., vulgar)|o
eater|person who eats|o
epicenter|point above an earthquake's origin; centre (of activity)|o;o
erection|stiffening of the penis; building, construction|o;o
exalt|to praise highly; to raise in rank|v;v
eyeglass|lens for one eye, monocle; eyeglasses: glasses (US)|o;n
ferment|to undergo chemical change (sugar to alcohol); unrest|v;o
filial|of a son or daughter (filial duty)|o
grating|harsh and irritating; metal grille|o;o
grumpy|bad-tempered|o
hyperinflation|extremely fast inflation|o
impartial|fair, neutral|o
incomprehensible|impossible to understand|o
infighting|quarrelling within a group|o
instill|to establish gradually (in someone's mind)|v
labium|lip-like fold (anatomy)|o
methyl|chemical group of carbon and hydrogen|o
monopolist|holder of a monopoly|o
narration|telling a story; commentary|o;o
pounce|to leap suddenly to seize|v
reassign|to assign again or elsewhere|v
reptile|cold-blooded scaly animal (snake, lizard)|o
schoolgirl|girl at school|o
seethe|to be silently furious; to boil, to swarm|v;v
slur|insult; to speak unclearly|o;v
snuff|to put out (a candle); powdered tobacco; snuff out: to end, to kill|v;o;n
sooo|so (drawn out, for emphasis) (colloq., = so)|o
sorcerer|male magician, wizard|o
spacious|roomy|o
specialization|focusing on one area|o
speedily|quickly|o
spinster|unmarried older woman|o
steadfast|firm, loyal|o
subtree|part of a tree structure with its own root (computing)|o
temperate|mild (climate); moderate|o;o
thaw|to melt; to become friendlier|v;v
unworthy|not deserving|o
urn|vase for ashes; large container for hot drinks|o;o
weirdly|strangely|o
yearn|to long for|v
abominable|terrible, hateful|o
adoptive|by adoption (adoptive parents)|o
anterior|towards the front|o
antics|silly or funny behaviour|o
apiece|each|o
aquatic|living in or of water|o
armament|weapons; arming for war|o;o
auditory|of hearing|o
bleat|to cry like a sheep; to complain weakly|v;v
booster|thing that increases (confidence, power); extra dose of vaccine|o;o
brig|two-masted sailing ship; ship's prison|o;o
characterise|to describe the character of; to be typical of|v;v
classifier|person or program that sorts into classes|o
commemorative|in memory of|o
compost|decayed plant matter used as fertilizer|o
cycling|riding a bicycle; cycling, present participle of cycle|o;o
dispense|to give out; dispense with: to do without|v;n
dozy|sleepy; stupid (colloq.)|o;o
egalitarian|believing in equality|o
eggbeater|kitchen tool for beating eggs|o
ellipse|oval|o
embroidery|decorative stitching|o
eunuch|castrated man, servant in a harem or palace|o
finalize|to complete|v
guarantor|person who guarantees|o
harmonization|making consistent|o
hearth|fireplace floor; home|o;o
hurrah|hooray|o
imitation|copy; fake|o;o
inconceivable|unthinkable|o
inexpensive|cheap|o
informally|casually, unofficially|o
internalize|to take in and accept as one's own|v
invert|to turn upside down or reverse|v
lingerie|women's underwear|o
milligram|thousandth of a gram|o
misconception|mistaken belief|o
neocortex|outer part of the brain used for higher thinking|o
nestle|to settle snugly|v
nobleman|man of noble rank|o
orthogonal|at right angles; independent, unrelated|o;o
perennial|lasting many years; plant living over two years|o;o
phage|virus that infects bacteria|o
pleasantly|agreeably|o
ponytail|hair tied at the back|o
porcelain|fine china|o
principled|having firm moral principles|o
prowess|skill|o
resurgent|rising again|o
retract|to withdraw (a statement); to pull back in|v;v
rodent|gnawing animal (rat, mouse)|o
seafood|fish and shellfish as food|o
silhouette|dark outline|o
sling|to throw; strap supporting an arm; weapon for throwing stones|v;o;o
softness|being soft|o
supplant|to replace|v
sus|suspicious (colloq.)|o
synchronize|to make happen at the same time|v
synthesizer|electronic keyboard instrument|o
thicket|dense group of bushes|o
trout|freshwater fish|o
turnover|rate of replacement (of staff); total sales; small pastry|o;o;o
unintelligible|impossible to understand|o
unman|to deprive of courage|v
uproar|loud disturbance, outcry|o
upswing|improvement, increase|o
wildcat|small wild cat; wildcat strike: sudden unofficial strike|o;n
wiring|system of electric wires|o
wobble|to rock unsteadily|v
abnormal|not normal|o
adherent|supporter, follower|o
advert|advertisement|o
alienation|feeling isolated; estrangement|o;o
amass|to collect in large amounts|v
amphitheatre|open circular theatre|o
balk|to hesitate, to refuse (balk at)|v
barren|infertile, bare|o
bicker|to squabble|v
bladder|organ holding urine|o
blather|to talk nonsense at length|v
camaraderie|friendship among a group|o
chestnut|brown nut; reddish-brown; old chestnut: overused story or joke|o;o;n
cholesterol|fatty substance in the blood|o
cohesive|united, holding together|o
commensurate|in proportion to|o
confluence|meeting of rivers; coming together|o;o
countryman|compatriot; man from the countryside|o;o
creditworthiness|ability to repay debt|o
criminalize|to make illegal|v
cumbersome|bulky, awkward|o
deliverance|rescue|o
dislocation|displacement of a bone; disruption|o;o
eco|ecological, environmental (eco-friendly)|o
expressionist|artist of expressionism|o
fanatic|extreme enthusiast, zealot|o
firefighter|person who puts out fires|o
fluctuate|to rise and fall|v
fortify|to strengthen|v
freelance|working independently for several clients|o
gallows|frame for hanging criminals|o
genomics|study of genomes|o
grassland|land covered with grass|o
haze|mist; confusion|o;o
hedgehog|small spiny mammal|o
holistic|considering the whole|o
horrid|horrible, nasty|o
horseman|rider|o
illiquid|not easily turned into cash|o
incipient|beginning|o
infer|to conclude from evidence|v
intrinsic|belonging naturally, essential|o
leukemia|cancer of the blood|o
marginalization|pushing to the edge of society|o
melodic|tuneful|o
mindful|aware, conscious|o
nourish|to feed|v
nucleotide|basic unit of DNA and RNA|o
pancreatic|of the pancreas|o
persuasive|convincing|o
pouch|small bag; pocket of skin (kangaroo)|o;o
relegate|to demote|v
resumption|restarting|o
revamp|to renovate, to improve|v
salient|most noticeable, important|o
schoolchild|child at school|o
segregation|separation (especially by race)|o
sickly|often ill; unpleasantly sweet|o;o
speedy|quick|o
subsistence|bare survival|o
sustainably|in a sustainable way|o
tantamount|equivalent (tantamount to)|o
tapir|pig-like animal with a short trunk|o
thirdly|in the third place|o
tinker|to make small adjustments, to fiddle (with); travelling mender of pots|v;o
unwind|to relax; to undo (something wound up)|v;v
uterine|of the womb|o
ventricle|lower chamber of the heart; cavity in the brain|o;o
vexation|annoyance, irritation|o
watchdog|dog kept to guard property; body that monitors companies or government|o;o
workable|practical, able to work|o
wrongly|incorrectly; unfairly|o;o
abode|home, dwelling|o
acquiesce|to agree without protest, to go along with|v
agora|public square in ancient Greece|o
authorization|official permission|o
breech|back part of a gun barrel; breech birth: birth with the baby's feet or bottom first|o;n
carving|carved object or figure; cutting up cooked meat|o;o
chronically|persistently, over a long time|o
clinician|doctor or nurse who treats patients directly|o
coexist|to exist together, to live side by side|v
confound|to confuse, to baffle; to prove wrong|v;v
convex|curving outward|o
counterintuitive|contrary to what seems obvious|o
decidedly|definitely, clearly|o
decimate|to kill or destroy a large part of|v
